station_no,station_code,station_name_en,area,long,lat,old_population_percentage,district_exit_percent,exit_count,hearing_impared_facility,mobility_impared_facility,visually_impaired_facility,system_accessibility,total_facility_score,normal_facility_score,normal_hearing_impared_facility,normal_mobility_impared_facility,normal_visually_impaired_facility,normal_system_accessibility,adjusted_demand,priority_ind,scaled_priority_ind
1,CEN,Central,Central and Western,114.15874908263815,22.281636443993612,19.279687056320537,0.2641509433962264,14,8,15,23,10,56,53.84615384615385,66.66666666666666,60.0,82.14285714285714,25.64102564102564,5.092747524311085,235.0498857374347,0.4226808753102075
2,ADM,Admiralty,Central and Western,114.16606506928467,22.278941890936995,19.279687056320537,0.1320754716981132,7,10,15,22,15,62,59.61538461538461,83.33333333333334,60.0,78.57142857142857,38.46153846153847,2.5463737621555427,102.83432501012769,0.166704867269837
3,TST,Tsim Sha Tsui,Yau Tsim Mong,114.17303315255667,22.297604305035414,17.88782766290999,0.10084033613445378,12,8,15,27,15,65,62.5,66.66666666666666,60.0,96.42857142857143,38.46153846153847,1.8038145542430244,67.64304578411341,0.09857277204173975
4,JOR,Jordan,Yau Tsim Mong,114.17190548031051,22.303782974679038,17.88782766290999,0.058823529411764705,7,8,11,23,10,52,50.0,66.66666666666666,44.0,82.14285714285714,25.64102564102564,1.0522251566417642,52.61125783208821,0.06947047082619114
5,YMT,Yau Ma Tei,Yau Tsim Mong,114.17040244878606,22.312846808385952,17.88782766290999,0.058823529411764705,7,8,15,23,15,61,58.65384615384615,66.66666666666666,60.0,82.14285714285714,38.46153846153847,1.0522251566417642,43.50546320730371,0.05184119220523381
6,MOK,Mong Kok,Yau Tsim Mong,114.16863403835694,22.318623259315302,17.88782766290999,0.12605042016806722,15,8,15,23,10,56,53.84615384615385,66.66666666666666,60.0,82.14285714285714,25.64102564102564,2.2547681928037804,104.0662242832514,0.16908988652556906
7,SKM,Shek Kip Mei,Sham Shui Po,114.16867529961289,22.331459303203978,20.398292699900253,0.10869565217391304,5,8,11,23,18,60,57.692307692307686,66.66666666666666,44.0,82.14285714285714,46.15384615384615,2.2172057282500273,93.80485773365501,0.1492233622529675
8,KOT,Kowloon Tong,Kowloon City,114.17595412381522,22.337153050609956,20.080655766448956,0.22857142857142856,8,10,17,28,18,73,70.1923076923077,83.33333333333334,68.0,100.0,46.15384615384615,4.589864175188333,136.81325906811375,0.23248980097797556
9,LOF,Lok Fu,Wong Tai Sin,114.18776589060174,22.337785998237155,22.96227648831618,0.08695652173913043,2,8,11,23,8,50,48.07692307692308,66.66666666666666,44.0,82.14285714285714,20.51282051282051,1.9967196946361896,103.67583029841752,0.16833406403953916
10,WTS,Wong Tai Sin,Wong Tai Sin,114.19309713494798,22.34204165912659,22.96227648831618,0.43478260869565216,10,8,11,23,15,57,54.807692307692314,66.66666666666666,44.0,82.14285714285714,38.46153846153847,9.983598473180948,451.1818540764466,0.8411232898111324
11,DIH,Diamond Hill,Wong Tai Sin,114.20244369008064,22.34025871976843,22.96227648831618,0.2608695652173913,6,10,15,23,18,66,63.46153846153846,83.33333333333334,60.0,82.14285714285714,46.15384615384615,5.990159083908569,218.87119729665926,0.3913581167815039
12,CHH,Choi Hung,Wong Tai Sin,114.2078730938776,22.335654444972555,22.96227648831618,0.21739130434782608,5,8,11,23,8,50,48.07692307692308,66.66666666666666,44.0,82.14285714285714,20.51282051282051,4.991799236590474,259.18957574604383,0.4694165352411915
13,KOB,Kowloon Bay,Kwun Tong,114.21404065999985,22.323650635941465,21.947186875154124,0.07692307692307693,3,8,11,23,23,65,62.5,66.66666666666666,44.0,82.14285714285714,58.97435897435898,1.688245144242625,63.309192909098435,0.09018221383302283
